Milestone ID,Level,Team,Target Date,Cycle,Prerequisites,"Planning Package (or epic, if pre-S18)",Description,(Optional) Milestone Coding,,,,,,,General notes
DM-NCSA-27,3,NCSA,2017-08-03,F17,,,Deliver header service code.,,,,,,,,"Numbers don't run monotonically since I pulled in the LDM- milestones first, then back-filled."
LSST-1160,2,,2017-08-03,F17,DM-NCSA-27,,Header Service Integration,,,,,,,,"AP, DRP are given references to the relevant sheets for full definition."
DM-NCSA-28,3,NCSA,2017-08-10,F17,,,Image ingest & processing control code.,,,,,,,,"Sometimes, I am shifting milestones later to better align with the overall plan (e.g., move visualization out of DAQ testing). We can still stick with the original dates, though."
LSST-1190,2,,2017-08-10,F17,"LSST-1160, DM-NCSA-28",,Control Interfaces Verification: Single Visit,,,,,,,,"We need to be able to describe what each milestone actually means. I think the ""DRP Milestones"" sheet is approximately the right level of detail for now. Some of the other milestones are too vague – what is ""alert subscription v2"" and how does it differ from ""alert subscription v1""? Not a requirement to provide expanded descriptions in this sheet but you should be ready and able to provide these definitions when asked by reviewers."
DM-DAX-1,3,DAX,2017-11-30,F17,,DM-10740 (epic),WISE data ingest to PDAC.,,,,,,,,"I have split the AP DIFF2 milestone into DIFF2 and DIFF3, and scheduled DIFF2 early. Simon, please check & confirm."
DM-DAX-2,3,DAX,2017-11-30,F17,,DM-10772 (epic),"Query service suporting IVOA TAP protocol, with support for asynchronous queries.",,,,,,,,"Not regarding ""improve XXX"" as a milestone unless it has a concrete deliverable."
DM-DAX-3,3,DAX,2017-11-30,F17,,DM-2107 (epic),Image cutout service supporting IVOA SODA protocol.,,,,,,,,Added a MOPS milestone.
DM-DAX-4,3,DAX,2017-11-30,F17,,DM-4863 (epic),Metadata service suporting IVOA SIAv2 protocol.,,,,,,,,"I can't see LSST-1160, 1190,etc in PMCS. Am assuming they are L2 milestones."
DM-SUIT-1,3,SUIT,2017-11-30,F17,DM-DAX-1,DM-8493,Search and display WISE sources (objects) in PDAC.,,,,,,,,
DM-SUIT-2,3,SUIT,2017-11-30,F17,"DM-DAX-2, DM-DAX-3",DM-8493,"Search WISE coaded data single exposure images in PDAC (the images are from IRSA at IPAC, not NCSA).",,,,,,,,
DM-SUIT-3,3,SUIT,2017-11-30,F17,,DM-8352,Time series analysis tool for WISE data.,,,,,,,,
DM-SUIT-4,3,SUIT,2017-11-30,F17,,DM-8400,Multiple data traces in chart space.,,,,,,,,
DM-SQRE-1,3,SQuaRE,2017-11-30,F17,,DM-10744 (epic),Project internal Jupyter notebook service.,,,,,,,,
LDM-503-1,2,,2017-11-30,F17,"DM-DAX-1, DM-DAX-2, DM-DAX-3, DM-DAX-4, DM-SUIT-1, DM-SUIT-2, DM-SUIT-3, DM-SUIT-4, DM-SQRE-1",,Science Platform with WISE data in PDAC,,,,,,,,
DM-AP-1,3,AP,2017-11-30,F17,,DM-10773 (epic),Basic single frame measurement pipeline.,SFM1,,,,,,,
DM-DAX-5,3,DAX,2017-11-30,F17,,DM-11238 (epic),"Database ingest in support of HSC reprocessing (automatable, large catalog ingest).",,,,,,,,
DM-DRP-1,3,DRP,2017-11-30,F17,,DM-8299 (epic),HSC merger complete: all functionality deployed for the most recent HSC data release processing is now available within the LSST stack.,DRP-MS-INT-1,,,,,,,
DM-DRP-2,3,DRP,2017-11-30,F17,"DM-DAX-5, DM-NCSA-3",DM-10571 (epic),Basic visualization and quality assessment tools operational on HSC-scale data volumes.,DRP-MS-QA-1,,,,,,,
DM-NCSA-1,3,NCSA,2017-11-30,F17,DM-DRP-1,DM-10702,Regular reprocessing service for HSC data available.,,,,,,,,
DM-NCSA-2,3,NCSA,2017-11-30,F17,DM-NCSA-1,DM-10702,Access to results of regular reprocessing available (NB the form this takes depends upon available DAX functionality).,,,,,,,,
DM-NCSA-3,3,NCSA,2017-11-30,F17,DM-DAX-5,,"Provide database for metadata, provenance, location and demonstrate ingest at small scale.",,,,,,,,
DM-SUIT-5,3,SUIT,2017-11-30,F17,"DM-NCSA-2, DM-NCSA-3, DM-DAX-5, DM-DAX-4, DM-DAX-3, DM-DAX-2",DM-8721,Search and display processed HSC data.,,,,,,,,
LDM-503-2,2,,2017-11-30,F17,"DM-AP-1, DM-DAX-5, DM-DRP-1, DM-DRP-2, DM-NCSA-1, DM-NCSA-2, DM-NCSA-3, DM-SUIT-5",,HSC Reprocessing,,,,,,,,
DM-AP-2,3,AP,2017-11-30,F17,,DM-10773 (epic),Alard & Lupton-style image differencing.,DIFF1,,,,,,,
DM-AP-3,3,AP,2017-11-30,F17,,DM-10773 (epic),Point source & dipole measurement on difference images.,DIFFMEAS1,,,,,,,
DM-AP-4,3,AP,2017-11-30,F17,,DM-10768 (epic),DIASource association.,,,,,,,,
DM-AP-5,3,AP,2017-11-30,F17,,DM-10768 (epic),DIAObject generation.,,,,,,,,
DM-DAX-6,3,DAX,2017-11-30,F17,,DM-2036 (epic),Prototype L1 / Alert Production database (relaxed scale requirements).,,,,,,,,
DM-DRP-3,3,DRP,2017-11-30,F17,,DM-8289 (epic),PSF-homogenized coadd construction.,DRP-MS-COADD-1,,,,,,,
LDM-503-3,2,,2017-11-30,F17,"DM-AP-1, DM-AP-2, DM-AP-3, DM-AP-4, DM-AP-5, DM-DAX-6",,Alert Generation Validation,,,,,,,,
DM-NCSA-29,3,NCSA,2017-12-07,S18,DM-NCSA-28,,Deliver image ingest & processing client code.,,,,,,,,
LSST-1200,2,,2017-12-07,S18,"LSST-1190, DM-NCSA-29",,Interface Verification: Single Visit,,,,,,,,
DM-DAX-7,3,DAX,2018-02-01,S18,,DAX-047,Butler interface to retrieve images from data backbone.,,,,,,,,
DM-NCSA-4,3,NCSA,2018-02-01,S18,"DM-NCSA-3, LDM-503-2",,"Minimal support for the small operational schema including file metadata and provenance for every file, and record of ingest.",,,,,,,,
LDM-503-4,2,,2018-02-01,S18,"DM-DAX-7, DM-NCSA-4",,AuxTel DAQ integration functionality test,,,,,,,,
DM-NCSA-5,3,NCSA,2018-02-12,S18,,"NCSA-LDFS-FY18a, NCSA-LDFSS-FY18a","Level 1 archiving system able to acquire pixel data from the Aux Tel DAQ, header metadata via OCS, assemble FITS image, deposit in cache.",,,,,,,,
DM-NCSA-6,3,NCSA,2018-02-12,S18,DM-NET-1,NCSA-LDFSS-FY18a,"Ability to transfer files originating from Tucson to NCSA and ingest files at NCSA, including metadata and provenance.",,,,,,,,
DM-NCSA-7,3,NCSA,2018-02-12,S18,,NCSA-DCITS-FY18a,Capability to paint displays for Tucson and NCSA.,,,,,,,,
DM-NET-1,3,Networks,2018-02-12,S18,,,Base - Archive Network Functional 1 Gbps (includes Tucson - Archive).,,,,,,,,
LDM-503-4b,2,,2018-02-12,S18,"DM-NCSA-5, DM-NCSA-6, DM-NCSA-7, LDM-503-4",,Aux Tel DAQ Interface Integration Verification and Spectrograph Operations Rehearsal,,,,,,,,
DM-DAX-11,3,DAX,2018-04-06,S18,,DAX-016,Schema design for transformed Engineering & Facilities Database (EFD).,,,,,,,,
DM-NCSA-30,3,NCSA,2018-04-06,S18,DM-DAX-11,NCSA-LDFS-FY18b,EFD transformation service.,,,,,,,,
DM-NCSA-31,3,NCSA,2018-04-06,S18,DM-DAX-11,NCSA-DCITS-FY18b,Transformed EFD database,,,,,,,,
LSST-1220,2,,2018-04-06,S18,"LSST-1190, DM-NCSA-30, DM-NCSA-31",,EFD ETL Under DM Control,,,,,,,,
DM-AP-6,3,AP,2018-05-31,S18,"DM-NCSA-8, DM-NCSA-9",AP-73,Alert format defined & queue system available.,ALERTDIST1,,,,,,,
DM-NCSA-8,3,NCSA,2018-05-31,S18,,"NCSA-LDFS-19b, NCSA-ICTF-18b",Test instance of feeds to LSST mini broker in online (live stream) and offline (replaying from files) modes.,,,,,,,,
DM-NCSA-9,3,NCSA,2018-05-31,S18,DM-DAX-6,"NCSA-LDFS-18b, NCSA-DCITS-18b, NCSA-ICTF-18b",Test instance of alert distribution hosting service and L1 database in Development & Integration Enclave.,,,,,,,,
DM-SUIT-18,3,SUIT,2018-05-31,S18,DM-DAX-4,IPAC 002,Search and browse metadata.,,,,,,,,
